"p1","eff"
"http://dbpedia.org/property/party",8
"http://dbpedia.org/ontology/alias",7
"http://dbpedia.org/property/4a",7
"http://dbpedia.org/property/endDate",7
"http://dbpedia.org/property/primeminister",7
"http://dbpedia.org/property/text",7
"http://dbpedia.org/ontology/relative",7
"http://dbpedia.org/property/patrons",6
"http://dbpedia.org/ontology/mainInterest",6
"http://dbpedia.org/ontology/parent",6
"http://dbpedia.org/property/suboffice",6
"http://dbpedia.org/property/4pp",5
"http://dbpedia.org/property/workInstitution",5
"http://dbpedia.org/property/salign",5
"http://dbpedia.org/property/relations",5
"http://dbpedia.org/property/president",5
"http://dbpedia.org/property/father",5
"http://dbpedia.org/property/organization",5
"http://dbpedia.org/property/v",4
"http://dbpedia.org/property/t",4
"http://dbpedia.org/ontology/relation",4
"http://dbpedia.org/property/b",4
"http://dbpedia.org/property/wikt",4
"http://dbpedia.org/ontology/profession",4
"http://dbpedia.org/property/signature",4
"http://dbpedia.org/property/profession",4
"http://dbpedia.org/property/schoolTradition",4
"http://dbpedia.org/property/unit",4
"http://dbpedia.org/property/partner(s)_",4
"http://dbpedia.org/property/subterm",4
"http://dbpedia.org/property/4y",4
"http://dbpedia.org/ontology/imdbId",4
"http://dbpedia.org/ontology/academicAdvisor",4
"http://dbpedia.org/property/rank",4
"http://dbpedia.org/property/allegiance",4
"http://dbpedia.org/property/with",4
"http://dbpedia.org/property/partner",4
"http://dbpedia.org/property/genre",3
"http://dbpedia.org/property/subject",3
"http://dbpedia.org/property/by",3
"http://dbpedia.org/property/justiceStart",3
"http://dbpedia.org/ontology/personFunction",3
"http://dbpedia.org/property/commons",3
"http://dbpedia.org/property/justiceEnd",3
"http://dbpedia.org/ontology/notableWork",3
"http://dbpedia.org/property/viaf",3
"http://dbpedia.org/property/5p",3
"http://dbpedia.org/property/era",3
"http://dbpedia.org/property/n",3
"http://dbpedia.org/property/pages",3
"http://dbpedia.org/ontology/militaryService",3
"http://dbpedia.org/property/labels",3
"http://dbpedia.org/property/notableworks",3
"http://dbpedia.org/property/5y",3
"http://dbpedia.org/property/postNominals",3
"http://dbpedia.org/property/hangul",3
"http://dbpedia.org/property/boards",3
"http://dbpedia.org/property/mr",3
"http://dbpedia.org/property/imagesize",3
"http://dbpedia.org/ontology/title",3
"http://dbpedia.org/property/serviceyears",3
"http://dbpedia.org/property/vicepresident",3
"http://dbpedia.org/property/mother",3
"http://dbpedia.org/property/rr",3
"http://dbpedia.org/property/postNoms",3
"http://dbpedia.org/property/5a",3
"http://dbpedia.org/property/hanja",3
"http://dbpedia.org/property/publisher",3
"http://dbpedia.org/property/justice",3
"http://www.w3.org/2002/07/owl#differentFrom",2
"http://dbpedia.org/property/thesis1Year",2
"http://dbpedia.org/property/voy",2
"http://dbpedia.org/property/navy",2
"http://dbpedia.org/property/group",2
"http://dbpedia.org/property/onlinebooks",2
"http://dbpedia.org/property/footer",2
"http://dbpedia.org/property/q",2
"http://dbpedia.org/property/vicePresident",2
"http://dbpedia.org/property/doctoralAdvisors",2
"http://dbpedia.org/ontology/field",2
"http://dbpedia.org/property/period",2
"http://purl.org/dc/elements/1.1/subject",2
"http://dbpedia.org/ontology/serviceStartYear",2
"http://dbpedia.org/property/constituency",2
"http://dbpedia.org/property/pic",2
"http://dbpedia.org/property/placeofburial",2
"http://dbpedia.org/property/suppressfields",2
"http://dbpedia.org/property/colwidth",2
"http://dbpedia.org/property/d",2
"http://dbpedia.org/property/video",2
"http://dbpedia.org/ontology/predecessor",2
"http://dbpedia.org/ontology/serviceEndYear",2
"http://dbpedia.org/property/onlysourced",2
"http://dbpedia.org/property/burialPlace",2
"http://dbpedia.org/property/piccap",2
"http://dbpedia.org/property/treasury",2
"http://dbpedia.org/property/vicePresidentStart",2
"http://dbpedia.org/ontology/partner",2
"http://dbpedia.org/property/vicePresidentEnd",2
"http://dbpedia.org/property/language",2
"http://dbpedia.org/property/region",2
"http://dbpedia.org/property/species",2
"http://dbpedia.org/property/state",2
