"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"almaMater","http://dbpedia.org/resource/Hunter_College"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"almaMater","http://dbpedia.org/resource/Columbia_University"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"almaMater","http://dbpedia.org/resource/Doctor_of_Philosophy"
"http://dbpedia.org/resource/Aileen_Fox",1907-07-29,"almaMater","http://dbpedia.org/resource/Newnham_College,_Cambridge"
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05,"almaMater","http://dbpedia.org/resource/University_of_Ceylon"
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05,"almaMater","http://dbpedia.org/resource/University_of_London"
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05,"almaMater","http://dbpedia.org/resource/Kingswood_College,_Kandy"
"http://dbpedia.org/resource/Linda_Braidwood",1909-10-09,"almaMater","http://dbpedia.org/resource/University_of_Chicago"
"http://dbpedia.org/resource/Linda_Braidwood",1909-10-09,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Su_Bingqi",1909,"almaMater","http://dbpedia.org/resource/Beijing_Normal_University"
"http://dbpedia.org/resource/Avraham_Biran",1909-10-23,"almaMater","http://dbpedia.org/resource/Johns_Hopkins_University"
"http://dbpedia.org/resource/Nikolaos_Platon",1909-01-08,"almaMater","http://dbpedia.org/resource/National_and_Kapodistrian_University_of_Athens"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"almaMater","http://dbpedia.org/resource/University_of_Glasgow"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"almaMater","http://dbpedia.org/resource/University_of_London"
"http://dbpedia.org/resource/Jacquetta_Hawkes",1910-08-05,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"institution","http://dbpedia.org/resource/University_of_Glasgow"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"institution","http://dbpedia.org/resource/Hunterian_Museum"
"http://dbpedia.org/resource/Ekrem_Akurgal",1911-03-30,"almaMater","http://dbpedia.org/resource/University_of_Berlin"
"http://dbpedia.org/resource/Chen_Mengjia",1911-04-20,"almaMater","http://dbpedia.org/resource/Yenching_University"
"http://dbpedia.org/resource/Zdenko_Vinski",1913-05-03,"almaMater","http://dbpedia.org/resource/University_of_Vienna"
"http://dbpedia.org/resource/Irving_Rouse",1913-08-29,"almaMater","http://dbpedia.org/resource/Yale_University"
"http://dbpedia.org/resource/James_Stewart_(archaeologist)",1913-07-11,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Muazzez_İlmiye_Çığ",1914-06-20,"almaMater","http://dbpedia.org/resource/Ankara_University"
"http://dbpedia.org/resource/Rúaidhrí_de_Valera",1916-11-03,"almaMater","http://dbpedia.org/resource/University_College_Dublin"
"http://dbpedia.org/resource/Margaret_Ursula_Jones",1916-05-16,"institution","http://dbpedia.org/resource/Mucking_(archaeological_site)"
"http://dbpedia.org/resource/Honor_Frost",1917-10-28,"institution","http://dbpedia.org/resource/UCL_Institute_of_Archaeology"
"http://dbpedia.org/resource/Ahmad_Hasan_Dani",1920-06-20,"almaMater","http://dbpedia.org/resource/Banaras_Hindu_University"
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05,"almaMater","http://dbpedia.org/resource/University_of_Pennsylvania"
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05,"almaMater","http://dbpedia.org/resource/Columbia_University"
"http://dbpedia.org/resource/Marija_Gimbutas",1921-01-23,"almaMater","http://dbpedia.org/resource/Vilnius_University"
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05,"institution","http://dbpedia.org/resource/Smithsonian_Institution"
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05,"institution","http://dbpedia.org/resource/National_Museum_of_Natural_History"
"http://dbpedia.org/resource/Su_Bai",1922-08-03,"almaMater","http://dbpedia.org/resource/Peking_University"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"almaMater","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"institution","http://dbpedia.org/resource/Texas_Tech_University"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"institution","http://dbpedia.org/resource/Southern_Methodist_University"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"almaMater","http://dbpedia.org/resource/Peking_University"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"almaMater","http://dbpedia.org/resource/Zhejiang_University"
