"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Honor_Frost","http://dbpedia.org/resource/Underwater_archaeology","Underwater archaeology",1917
"http://dbpedia.org/resource/John_Howland_Rowe","http://dbpedia.org/resource/Anthropologist","Anthropologist",1918
"http://dbpedia.org/resource/John_Howland_Rowe","http://dbpedia.org/resource/Archaeologist","Archaeologist",1918
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","http://dbpedia.org/resource/Archaeology","Archaeology",1920
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","http://dbpedia.org/resource/Linguistics","Linguistics",1920
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","http://dbpedia.org/resource/History","History",1920
"http://dbpedia.org/resource/Betty_Meggers","http://dbpedia.org/resource/Anthropology","Anthropology",1921
"http://dbpedia.org/resource/B._B._Lal","http://dbpedia.org/resource/Archaeological_Survey_of_India","Archaeological Survey of India",1921
"http://dbpedia.org/resource/B._B._Lal","http://dbpedia.org/resource/Archaeologist","Archaeologist",1921
"http://dbpedia.org/resource/Marija_Gimbutas","http://dbpedia.org/resource/Archaeology","Archaeology",1921
"http://dbpedia.org/resource/Fred_Wendorf","http://dbpedia.org/resource/Archaeology","Archaeology",1924
"http://dbpedia.org/resource/James_Mellaart","http://dbpedia.org/resource/Archaeologist","Archaeologist",1925
"http://dbpedia.org/resource/Ma_Chengyuan","http://dbpedia.org/resource/Archaeology","Archaeology",1927
"http://dbpedia.org/resource/John_Wymer","http://dbpedia.org/resource/Archaeologist","Archaeologist",1928
"http://dbpedia.org/resource/Stanley_South","http://dbpedia.org/resource/Archaeology","Archaeology",1928
"http://dbpedia.org/resource/Viktor_Sarianidi","http://dbpedia.org/resource/Archaeology","Archaeology",1929
"http://dbpedia.org/resource/Seifollah_Kambakhshfard","http://dbpedia.org/resource/Archaeology","Archaeology",1929
"http://dbpedia.org/resource/Seifollah_Kambakhshfard","http://dbpedia.org/resource/History_of_Iran","History of Iran",1929
"http://dbpedia.org/resource/R._Nagaswamy","http://dbpedia.org/resource/Archaeologist","Archaeologist",1930
"http://dbpedia.org/resource/Lewis_Binford","http://dbpedia.org/resource/Anthropology","Anthropology",1931
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)","http://dbpedia.org/resource/Archaeology","Archaeology",1931
"http://dbpedia.org/resource/Lewis_Binford","http://dbpedia.org/resource/Archaeology","Archaeology",1931
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)","http://dbpedia.org/resource/History","History",1931
"http://dbpedia.org/resource/George_Bass_(archaeologist)","http://dbpedia.org/resource/Underwater_archaeology","Underwater archaeology",1932
"http://dbpedia.org/resource/Betty_Meehan","http://dbpedia.org/resource/Anthropologist","Anthropologist",1933
"http://dbpedia.org/resource/Betty_Meehan","http://dbpedia.org/resource/Archaeologist","Archaeologist",1933
"http://dbpedia.org/resource/Susan_Bulmer","http://dbpedia.org/resource/Archaeology","Archaeology",1933
"http://dbpedia.org/resource/Li_Xueqin","http://dbpedia.org/resource/Palaeography","Palaeography",1933
"http://dbpedia.org/resource/Henrieta_Todorova","http://dbpedia.org/resource/Archaeology","Archaeology",1933
"http://dbpedia.org/resource/Peter_Garlake","http://dbpedia.org/resource/Archaeologist","Archaeologist",1934
"http://dbpedia.org/resource/Peter_Garlake","http://dbpedia.org/resource/Art_historian","Art historian",1934
"http://dbpedia.org/resource/Isabel_McBryde","http://dbpedia.org/resource/Archaeologist","Archaeologist",1934
"http://dbpedia.org/resource/Eugene_Stockton","http://dbpedia.org/resource/Archaeologist","Archaeologist",1934
"http://dbpedia.org/resource/Ehud_Netzer","http://dbpedia.org/resource/Archaeology","Archaeology",1934
